pair,signal_bar_ts,entry_time_recorded,entry_time_expected_t_plus_1,check_entry_time_at_t_plus_1,spread_at_bar_t_plus_1_raw,spread_pips_used_recorded,check_spread_at_execution_bar,atr_at_signal_recorded,sl_distance_recorded,sl_distance_expected_2x_atr_signal,check_sl_from_signal_atr_not_t_plus_1,all_checks_pass
NZD_CAD,2025-08-29 12:00:00,2025-08-29 16:00:00,2025-08-29 16:00:00,1,8,2.3,1,0.001723843738,0.0034476875,0.003447687476,1,1
EUR_JPY,2025-02-11 08:00:00,2025-02-11 12:00:00,2025-02-11 12:00:00,1,8,1,1,0.6307397885,1.2614796,1.261479577,1,1
EUR_AUD,2023-06-22 16:00:00,2023-06-22 20:00:00,2023-06-22 20:00:00,1,4,2.4,1,0.005267418781,0.010534838,0.01053483756,1,1
CAD_CHF,2022-05-11 16:00:00,2022-05-11 20:00:00,2022-05-11 20:00:00,1,4,1.5,1,0.002786626126,0.0055732523,0.005573252252,1,1
EUR_NZD,2024-12-03 00:00:00,2024-12-03 04:00:00,2024-12-03 04:00:00,1,19,3.8,1,0.004821759535,0.009643519,0.00964351907,1,1
AUD_JPY,2023-03-27 08:00:00,2023-03-27 12:00:00,2023-03-27 12:00:00,1,9,0.9,1,0.5557991096,1.11159822,1.111598219,1,1
EUR_JPY,2021-07-09 00:00:00,2021-07-09 04:00:00,2021-07-09 04:00:00,1,2,1,1,0.3129071386,0.6258143,0.6258142772,1,1
NZD_JPY,2021-08-20 16:00:00,2021-08-20 20:00:00,2021-08-20 20:00:00,1,2,1,1,0.3557216671,0.71144333,0.7114433342,1,1
USD_JPY,2022-12-05 08:00:00,2022-12-05 12:00:00,2022-12-05 12:00:00,1,1,0.6,1,0.8481800461,1.6963601,1.696360092,1,1
AUD_USD,2025-11-26 00:00:00,2025-11-26 04:00:00,2025-11-26 04:00:00,1,8,1,1,0.002170131076,0.0043402622,0.004340262152,1,1
USD_CHF,2022-12-15 16:00:00,2022-12-15 20:00:00,2022-12-15 20:00:00,1,5,0.9,1,0.003902961305,0.0078059226,0.00780592261,1,1
CHF_JPY,2022-12-05 16:00:00,2022-12-05 20:00:00,2022-12-05 20:00:00,1,10,2.2,1,0.6409671494,1.2819343,1.281934299,1,1
CHF_JPY,2023-12-18 08:00:00,2023-12-18 12:00:00,2023-12-18 12:00:00,1,10,2.2,1,0.6949543809,1.3899088,1.389908762,1,1
USD_JPY,2023-01-17 00:00:00,2023-01-17 04:00:00,2023-01-17 04:00:00,1,1,0.6,1,0.6898583521,1.3797167,1.379716704,1,1
CAD_CHF,2024-08-06 00:00:00,2024-08-06 04:00:00,2024-08-06 04:00:00,1,3,1.5,1,0.00386052449,0.007721049,0.00772104898,1,1
GBP_AUD,2025-09-15 08:00:00,2025-09-15 12:00:00,2025-09-15 12:00:00,1,15,4,1,0.004048650838,0.008097302,0.008097301676,1,1
EUR_AUD,2025-11-06 00:00:00,2025-11-06 04:00:00,2025-11-06 04:00:00,1,8,2.4,1,0.005027656903,0.010055314,0.01005531381,1,1
GBP_AUD,2024-10-04 08:00:00,2024-10-04 12:00:00,2024-10-04 12:00:00,1,11,4,1,0.005815917373,0.011631835,0.01163183475,1,1
EUR_JPY,2022-08-03 12:00:00,2022-08-03 16:00:00,2022-08-03 16:00:00,1,1,1,1,0.7654689862,1.530938,1.530937972,1,1
EUR_GBP,2024-11-15 08:00:00,2024-11-15 12:00:00,2024-11-15 12:00:00,1,4,0.8,1,0.001577175577,0.0031543512,0.003154351154,1,1
