quarter,mean_atr_14,mean_atr_percentile_60,clean_move_rate,n_rows,mean_fold_auc_overlap
2020Q1,0.12172819596080503,0.5910335386721424,0.1801381370169871,10714,
2020Q2,0.10419524159846796,0.3679532967032967,0.22197802197802197,10920,
2020Q3,0.0772959533074488,0.4944173881673881,0.24765512265512266,11088,0.48325702172577667
2020Q4,0.07484769173283713,0.48463675213675206,0.16602564102564102,10920,0.48325702172577667
2021Q1,0.07241130137279253,0.45162351977828163,0.2561413454270597,10584,0.48325702172577667
2021Q2,0.07067870569033072,0.44679181929181927,0.1457875457875458,10920,0.4786654332943059
2021Q3,0.07275433436126759,0.5119288119288119,0.16296897546897546,11088,0.4740738448628351
2021Q4,0.08427857175464208,0.4475033068783068,0.2078823953823954,11088,0.4740738448628351
2022Q1,0.09819246894487152,0.5493458581349207,0.2379092261904762,10752,0.5015384761480186
2022Q2,0.14176921613716437,0.4977701465201465,0.2292124542124542,10920,0.529003107433202
2022Q3,0.139270884735922,0.5012987012987012,0.1891233766233766,11088,0.529003107433202
2022Q4,0.15005333253473696,0.427325208466966,0.20626775405479703,10913,0.5320770734243785
2023Q1,0.14240285640380781,0.44733211233211234,0.17106227106227107,10920,0.5351510394155549
2023Q2,0.1143706364445423,0.46538919413919416,0.20824175824175825,10920,0.5351510394155549
2023Q3,0.11238764070862253,0.465795177045177,0.20613553113553112,10920,0.537541677301424
2023Q4,0.11083256133569683,0.5004990575074936,0.20042643923240938,10787,0.5399323151872931
2024Q1,0.09547863149709375,0.4136486235119048,0.20368303571428573,10752,0.5399323151872931
2024Q2,0.10489914700025188,0.4859172771672771,0.2793040293040293,10920,0.5066126773612473
2024Q3,0.16410058041500258,0.5350484006734006,0.18903318903318903,11088,0.47329303953520135
2024Q4,0.13727376384414994,0.45976054766428415,0.1525377725504388,11053,0.47329303953520135
2025Q1,0.14589640431279255,0.4860427857883328,0.18160399585335973,10611,0.4831929365489812
2025Q2,0.14450227838392332,0.4207997557997558,0.15732600732600732,10920,0.4930928335627611
2025Q3,0.0993424978526758,0.42205687830687827,0.11228354978354978,11088,0.4930928335627611
2025Q4,0.1141529718910207,0.49804365079365076,0.1719047619047619,4200,0.4930928335627611
