archetype_id,metric,key,value
cluster_2,fwd_mfe_r_candidate,p5,0.335896
cluster_2,final_r_candidate,p5,-1
cluster_2,mae_at_peak_r_candidate,p5,-0.952661
cluster_2,fwd_mfe_r_candidate,p10,0.725576
cluster_2,final_r_candidate,p10,-1
cluster_2,mae_at_peak_r_candidate,p10,-0.909552
cluster_2,fwd_mfe_r_candidate,p25,4.90062
cluster_2,final_r_candidate,p25,-1
cluster_2,mae_at_peak_r_candidate,p25,-0.710777
cluster_2,fwd_mfe_r_candidate,p50,7.09853
cluster_2,final_r_candidate,p50,3.87011
cluster_2,mae_at_peak_r_candidate,p50,-0.450155
cluster_2,fwd_mfe_r_candidate,p75,10.3518
cluster_2,final_r_candidate,p75,7.37814
cluster_2,mae_at_peak_r_candidate,p75,-0.241277
cluster_2,fwd_mfe_r_candidate,p90,13.9789
cluster_2,final_r_candidate,p90,11.2146
cluster_2,mae_at_peak_r_candidate,p90,-0.0725915
cluster_2,fwd_mfe_r_candidate,p95,16.6512
cluster_2,final_r_candidate,p95,13.8652
cluster_2,mae_at_peak_r_candidate,p95,-0.0351192
cluster_2,mass_in_band,0-0.5R,30
cluster_2,mass_in_band,0.5-1R,17
cluster_2,mass_in_band,1-2R,13
cluster_2,mass_in_band,2-5R,39
cluster_2,mass_in_band,>5R,281
cluster_2,bimodal_test,hartigan_dip_stat,0.0420331
cluster_2,bimodal_test,hartigan_dip_p,5.09383e-05
cluster_2,bimodal_test,mode_separation_r,5.84386
cluster_2,bimodal_test,min_mode_mass,0.207895
cluster_2,bimodal_test,kde_mode_1,1.05746
cluster_2,bimodal_test,kde_mode_2,6.90132
