view,K,existing_cluster,is_dual_gate_passing,archetype_id,overlap_pct,n_in_existing,pct_from_existing_0,pct_from_existing_1,pct_from_existing_2,pct_from_existing_-2,is_majority_from_passing_cluster
forward,3,0,True,1,0.605832549388523,14882,,,,,False
forward,3,1,False,0,0.5876155268022181,16230,,,,,False
forward,3,2,False,0,0.6388297507039352,14561,,,,,False
inverse,3,-999,False,0,,24704,0.23741094559585493,0.38605084196891193,0.37653821243523317,0.0,False
inverse,3,-999,False,1,,20955,0.4302553089954665,0.31901694106418516,0.25072774994034835,0.0,False
inverse,3,-999,False,2,,14,0.07142857142857142,0.5714285714285714,0.35714285714285715,0.0,False
forward,4,0,True,1,0.3941002553420239,14882,,,,,False
forward,4,1,False,1,0.5876155268022181,16230,,,,,False
forward,4,2,False,1,0.6388297507039352,14561,,,,,False
inverse,4,-999,False,0,,10061,0.5177417751714541,0.2954974654606898,0.18676075936785608,0.0,False
inverse,4,-999,False,1,,24704,0.23741094559585493,0.38605084196891193,0.37653821243523317,0.0,False
inverse,4,-999,False,2,,14,0.07142857142857142,0.5714285714285714,0.35714285714285715,0.0,False
inverse,4,-999,False,3,,10894,0.34945841747751055,0.3407380209289517,0.3098035615935377,0.0,False
forward,5,0,True,1,0.3941002553420239,14882,,,,,False
forward,5,1,False,1,0.5876155268022181,16230,,,,,False
forward,5,2,False,1,0.6388297507039352,14561,,,,,False
inverse,5,-999,False,0,,10034,0.5176400239186765,0.29569463823001796,0.18666533785130557,0.0,False
inverse,5,-999,False,1,,24704,0.23741094559585493,0.38605084196891193,0.37653821243523317,0.0,False
inverse,5,-999,False,2,,10895,0.3494263423588802,0.34070674621385955,0.3098669114272602,0.0,False
inverse,5,-999,False,3,,28,0.5357142857142857,0.25,0.21428571428571427,0.0,False
inverse,5,-999,False,4,,12,0.08333333333333333,0.5833333333333334,0.3333333333333333,0.0,False
forward,6,0,True,0,0.34901222953904043,14882,,,,,False
forward,6,1,False,1,0.5526186075169439,16230,,,,,False
forward,6,2,False,1,0.6099855779136049,14561,,,,,False
inverse,6,-999,False,0,,10033,0.5176916176617163,0.2957241104355626,0.18658427190272103,0.0,False
inverse,6,-999,False,1,,22934,0.2216359989535188,0.39107874771082235,0.38728525333565883,0.0,False
inverse,6,-999,False,2,,10895,0.3494263423588802,0.34070674621385955,0.3098669114272602,0.0,False
inverse,6,-999,False,3,,13,0.07692307692307693,0.5384615384615384,0.38461538461538464,0.0,False
inverse,6,-999,False,4,,28,0.5357142857142857,0.25,0.21428571428571427,0.0,False
inverse,6,-999,False,5,,1770,0.44180790960451977,0.32090395480225986,0.23728813559322035,0.0,False
forward,7,0,True,2,0.34907942480849347,14882,,,,,False
forward,7,1,False,0,0.5526186075169439,16230,,,,,False
forward,7,2,False,0,0.6099855779136049,14561,,,,,False
inverse,7,-999,False,0,,22934,0.2216359989535188,0.39107874771082235,0.38728525333565883,0.0,False
inverse,7,-999,False,1,,10894,0.34945841747751055,0.3407380209289517,0.3098035615935377,0.0,False
inverse,7,-999,False,2,,10032,0.5178429027113237,0.2955542264752791,0.18660287081339713,0.0,False
inverse,7,-999,False,3,,5,0.2,0.6,0.2,0.0,False
inverse,7,-999,False,4,,14,0.0,0.5714285714285714,0.42857142857142855,0.0,False
inverse,7,-999,False,5,,1770,0.44180790960451977,0.32090395480225986,0.23728813559322035,0.0,False
inverse,7,-999,False,6,,24,0.5833333333333334,0.20833333333333334,0.20833333333333334,0.0,False
