dataset,K,archetype_id,clean,meaty,predictable,size_viable,not_overlap,qualifies_as_v2_0_evidence,size_fraction_of_pool,monotonicity_centroid,local_peaks_centroid,pullback_magnitude_centroid,final_r_mean,frac_reach_1R,fwd_mfe_h240_p50,frac_wrong_way,auc_mean,shape_tag,size_count,time_to_peak_relative_centroid,pct_peak_and_collapse,exit_family_tag,centroid_summary
arc2,3,0,False,True,False,True,False,False,0.1933383420986726,0.5350370439658394,24.21066319895967,0.0313894690458888,3.9081668202992086,1.0,6.317775011062622,0.0142487046632124,0.5113764942001815,bimodal,772,0.7882478293540114,0.0764248704663212,mixed,mono=0.54 peaks=24.2 pull=0.03 ttp=0.79
arc2,4,2,False,True,False,True,False,False,0.1915852742299023,0.5355066229704937,24.099346405228744,0.0327899898091951,3.91079849915372,1.0,6.319250106811523,0.0183006535947712,0.502193764410669,bimodal,765,0.7976317076901212,0.0758169934640522,mixed,mono=0.54 peaks=24.1 pull=0.03 ttp=0.80
arc2,5,1,False,True,False,True,False,False,0.1555221637866266,0.537071608473363,26.4959871589085,0.027523673879488,4.4535141877962,1.0,6.859149932861328,0.0080515297906602,0.4988691525832331,bimodal,621,0.7888129496555273,0.0466988727858293,mixed,mono=0.54 peaks=26.5 pull=0.03 ttp=0.79
arc2,6,2,False,True,False,True,False,False,0.1512647132481843,0.5371436167829085,26.781456953642376,0.0293106387264486,4.531789344938978,1.0,6.9044249057769775,0.0082781456953642,0.4928734763353592,bimodal,604,0.7955582529207734,0.0397350993377483,mixed,mono=0.54 peaks=26.8 pull=0.03 ttp=0.80
arc2,7,2,False,True,False,False,False,False,0.1465063861758076,0.5377952397176373,27.07204116638079,0.0292168110736854,4.637298283222903,1.0,6.971399784088135,0.0085470085470085,0.5043230702318382,bimodal,585,0.8026903526758458,0.0307692307692307,mixed,mono=0.54 peaks=27.1 pull=0.03 ttp=0.80
kh24,3,1,False,False,False,True,True,False,0.5027124773960217,0.596549243806935,6.69064748201439,0.0207966357576762,0.7356005241531584,0.8920863309352518,3.9179104566574097,0.3201438848920863,0.562482853223594,bimodal,278,0.7000444708593032,0.2194244604316546,stepwise_lock,mono=0.60 peaks=6.7 pull=0.02 ttp=0.70
kh24,4,1,True,False,False,True,True,False,0.3960216998191682,0.5994860264536451,3.863013698630137,0.0220166983669751,0.1099594073055405,0.8538812785388128,3.1088767051696777,0.4246575342465753,0.5690161001788908,bimodal,219,0.6210111769843321,0.3150684931506849,untradeable,mono=0.60 peaks=3.9 pull=0.02 ttp=0.62
kh24,4,3,False,True,False,False,True,False,0.1338155515370705,0.5756495462076084,14.189189189189186,0.0200597023641741,2.3653243364313163,1.0,5.403418064117432,0.0405405405405405,0.5693009118541034,bimodal,74,0.847348409730035,0.027027027027027,stepwise_lock,mono=0.58 peaks=14.2 pull=0.02 ttp=0.85
kh24,5,3,False,True,False,False,True,False,0.1229656419529837,0.5809122341520647,14.647058823529411,0.0218296761021894,2.372784776174847,1.0,5.25957727432251,0.0441176470588235,0.5638177276251184,bimodal,68,0.8503409667926677,0.0294117647058823,stepwise_lock,mono=0.58 peaks=14.6 pull=0.02 ttp=0.85
kh24,5,4,False,False,False,True,True,False,0.2766726943942134,0.5346973550085927,4.61437908496732,0.023092155655225,0.3887128658300521,0.8954248366013072,3.1932122707366943,0.3398692810457516,0.5355676056810933,bimodal,153,0.7752864553647885,0.2026143790849673,mixed,mono=0.53 peaks=4.6 pull=0.02 ttp=0.78
kh24,6,2,False,True,False,False,True,False,0.1211573236889692,0.5803977206571779,14.71641791044776,0.0221554921634161,2.394903107699174,1.0,5.384547233581543,0.044776119402985,0.571336032388664,bimodal,67,0.8524970652452156,0.0298507462686567,stepwise_lock,mono=0.58 peaks=14.7 pull=0.02 ttp=0.85
kh24,6,4,False,False,False,True,True,False,0.2495479204339963,0.6083876987298331,5.036231884057971,0.0248166815094325,0.4684933480415223,0.9130434782608696,3.264410376548767,0.3043478260869565,0.5556327214111014,bimodal,138,0.7557630310024042,0.1884057971014492,stepwise_lock,mono=0.61 peaks=5.0 pull=0.02 ttp=0.76
kh24,7,1,False,True,False,True,True,False,0.2459312839059674,0.6101997733554421,5.191176470588236,0.0154082701705834,0.5155589107478804,0.9117647058823528,3.301337718963623,0.2867647058823529,0.5382015594451607,bimodal,136,0.7587474479394802,0.1617647058823529,stepwise_lock,mono=0.61 peaks=5.2 pull=0.02 ttp=0.76
kh24,7,3,False,True,False,False,True,False,0.1103074141048824,0.5796893160851275,15.14754098360656,0.0162449107795465,2.5213075840815167,1.0,5.134607315063477,0.0491803278688524,0.5505209960429033,bimodal,61,0.8584112622698801,0.0327868852459016,mixed,mono=0.58 peaks=15.1 pull=0.02 ttp=0.86
